3,2,4,4,3,4,2,3,3,3
20,20,21,20,21,21,21,21,20,21
11,11,11,11,11,12,11,12,12,12
9,9,8,8,8,8,9,9,9,9
4,4,5,5,5,5,5,5,5,5
1,0,2,1,2,1,2,3,2,1
6,6,6,6,6,6,5,5,6,6
3,2,1,2,2,2,2,3,3,3
1,2,2,2,2,2,2,2,3,3
5,4,4,5,4,4,4,5,3,5
5,5,4,4,5,5,4,5,4,5
11,11,11,11,11,11,10,10,11,11
10,11,11,11,12,12,10,11,11,11
1,2,0,1,2,2,2,2,2,2
1,2,0,1,2,2,2,2,2,2
3,3,4,4,4,4,5,4,4,4
1,1,1,1,1,1,0,1,1,1
2,2,2,2,2,2,1,0,2,2
1,2,2,3,2,2,2,3,2,3
6,5,6,5,5,5,6,5,5,6
6,6,6,6,6,6,6,6,5,6
3,2,3,2,4,3,4,3,4,3
4,5,5,5,6,5,5,5,6,6
7,8,6,7,8,7,6,7,8,7
4,4,3,4,3,4,4,4,4,4
9,9,9,9,9,9,9,9,9,9
4,5,4,4,4,4,4,4,3,4
3,3,2,2,4,4,4,4,4,3
3,3,4,2,2,2,2,3,3,3
4,3,3,4,2,3,4,3,4,3
2,1,3,2,2,2,1,1,3,3
4,3,4,3,4,3,4,3,5,4
5,5,5,5,5,6,5,5,4,5
3,4,4,4,4,4,4,4,4,4
2,3,3,3,3,3,3,3,3,3
4,5,5,5,5,5,5,5,5,5
0,1,1,1,1,1,1,1,1,1
4,4,3,3,2,2,3,3,3,3
3,4,3,3,2,3,3,4,3,4
3,3,3,3,3,3,2,3,3,3
4,4,3,3,2,3,3,3,3,4
3,3,3,3,3,3,2,3,3,3
6,6,6,7,7,7,6,7,6,6
10,10,10,10,10,9,10,10,10,10
2,2,2,2,2,2,1,0,2,2
2,3,2,3,3,3,4,3,4,3
4,4,5,4,5,5,5,5,6,5
0,1,1,1,1,2,2,2,2,2
0,1,1,1,1,1,2,2,2,2
3,4,4,4,4,4,5,4,5,5
1,2,2,2,2,2,2,2,2,2
1,2,2,2,2,2,3,3,2,2
1,2,2,2,2,2,2,2,2,2
4,5,5,5,5,5,5,5,5,4
2,3,3,3,3,3,3,3,3,3
21,21,21,21,21,21,21,21,21,21
4,3,2,3,2,2,3,3,3,3
17,18,18,18,18,18,18,18,18,18
4,4,5,5,4,5,5,4,6,5
0,1,1,1,1,2,1,2,2,1
5,5,5,5,5,5,5,5,4,5
1,1,0,1,1,1,1,1,1,1
2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,1,2,2,2
4,4,4,5,5,5,5,5,5,6
4,4,5,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4
11,11,12,12,12,12,12,12,12,11
13,13,14,14,14,14,14,13,14,14
3,3,3,3,3,3,2,3,3,3
0,1,1,2,1,1,2,1,2,1
1,2,2,1,1,0,1,3,2,2
1,2,1,1,2,2,2,2,2,2
3,4,4,4,4,4,3,5,5,4
2,2,1,2,2,3,2,2,2,2
0,1,1,1,1,1,1,2,1,1
3,3,3,3,3,3,2,2,3,3
6,6,6,6,6,6,6,6,6,6
3,3,4,4,4,4,4,5,4,4
2,2,3,3,3,3,3,3,4,4
2,2,3,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,4,4
12,13,13,13,13,13,13,13,13,13
5,6,6,6,7,6,7,7,6,7
8,10,9,9,8,8,9,8,8,9
8,8,7,8,8,9,8,8,8,8
6,7,6,5,6,5,5,6,5,5
8,8,7,8,8,9,8,8,8,8
9,10,9,8,8,9,9,8,8,8
8,8,7,8,8,9,8,8,8,8
8,10,9,8,9,8,9,8,8,9
8,8,7,8,8,9,8,8,8,8
8,8,7,8,8,9,8,8,8,8
6,6,6,6,5,6,5,6,6,6
5,6,6,6,6,7,7,7,7,7
9,10,8,8,7,8,8,8,9,9
8,8,7,8,8,9,8,8,8,8
8,8,7,8,8,9,8,8,8,8
8,8,7,8,8,9,8,8,8,8
8,8,7,8,8,9,8,8,8,8
8,8,7,8,8,9,8,8,8,8
8,8,7,8,8,9,8,8,8,8
8,8,7,8,8,9,8,8,8,8
8,8,7,8,8,9,8,8,8,8
3,4,2,2,1,2,2,2,3,3
3,4,4,4,4,5,4,4,4,5
3,4,4,4,4,4,4,4,5,5
10,10,9,10,9,10,10,10,10,9
10,10,9,10,9,10,10,10,10,9
10,10,9,10,9,10,10,10,10,9
2,3,3,3,3,3,3,3,3,3
10,10,9,10,9,10,10,10,10,9
10,10,9,10,9,10,10,10,10,9
10,10,9,10,9,10,10,10,10,9
0,1,1,1,2,1,1,2,2,1
